emailId,orderResponse
E001,"Hi there,

Thank you for reaching out to us and for your interest in our LTH0976 Leather Bifold Wallets. I'm pleased to confirm that we have successfully processed your order for 4 Leather Bifold Wallets. We hope these will be a great addition to your boutique shop.

If you have any further questions or need assistance with anything else, feel free to let us know. We're here to help!

Thank you,

BrooksDuBois."
E002,"Good morning Jessica,

Thank you for reaching out and sharing your love for tote bags with us! I'm excited to let you know that your order for the VBT2345 Vibrant Tote bag has been successfully created. It sounds like this new addition will fit right in with your collection and be just as convenient for all your carrying needs.

Thank you for choosing us for your tote bag adventures. If you have any questions or need further assistance, feel free to reach out.

Thank You,

BrooksDuBois."
E003,"Hello David,

Thank you for reaching out to us! I'm glad to inform you that your order for the LTH1098 Leather Backpack has been successfully created. This backpack is a great choice for carrying your laptop and documents, and it offers excellent organizational features with multiple pockets to keep your items neatly arranged.

If you have any more questions or need further assistance, feel free to let me know. We're here to help you make the best choice for your needs.

Thank you,

BrooksDuBois."
E004,"Hi,

Thank you for reaching out to us. I'm pleased to confirm that we have successfully processed your order for three Infinity Scarves, item ID: SFT1098. We hope your wife enjoys adding these beautiful pieces to her collection.

Thank you for choosing us for your purchase.

Thank You,

BrooksDuBois."
E005,"Good day,

Thank you for reaching out with your inquiry. I'm pleased to confirm that your order for the CSH1098 Cozy Shawl has been successfully created. This versatile piece is indeed designed to serve both as a lightweight blanket and a thick wrapping scarf, making it a wonderful gift choice for your grandmother. At $22, it offers a balance of quality and comfort, suitable for use as a lap blanket.

If you have any further questions or need assistance, feel free to let us know.

Thank you,

BrooksDuBois."
E006,"Hey Sam,

Thanks for reaching out! I see that you've got your eye on the CBT8901 Chelsea Boots. Great choice! I'm happy to let you know that your order has been successfully created. These boots will be perfect for the colder months ahead.

If you have any other questions or need further assistance, feel free to let us know. We're here to help!

Thank You,

BrooksDuBois."
E007,"Hi Liz,

Thank you for reaching out to us. I'm happy to confirm that we've successfully processed your order for 5 CLF2109 Cable Knit Beanies. Unfortunately, the FZZ1098 Fuzzy Slippers are currently out of stock. We apologize for any inconvenience this may cause and are working to restock them as soon as possible.

Please let us know if there's anything else we can assist you with.

Thank you,

BrooksDuBois."
E007,"Hi Liz,

Thank you for reaching out to us. I wanted to let you know that we have successfully processed your order for 2 pairs of FZZ1098 Fuzzy Slippers. Unfortunately, the CLF2109 Cable Knit Beanies are currently out of stock. We apologize for any inconvenience this may cause and are happy to notify you once they are available again.

Please let us know if there's anything else we can assist you with.

Thank You,

BrooksDuBois."
E008,"Hello,

Thank you for your order! We are pleased to confirm that your Versatile Scarf, which can be worn as a scarf, shawl, or headwrap, has been successfully created and is ready for you. We hope you enjoy the versatility and style it brings to your wardrobe.

Thank You,

BrooksDuBois."
E009,"Hola,

Gracias por contactarnos con tu pregunta sobre el gorro de punto grueso DHN0987. Este gorro está hecho de una mezcla de lana y acrílico, lo que lo hace muy cálido y perfecto para usar en invierno. Esperamos que esta información te sea útil.

Si tienes alguna otra pregunta o necesitas más información, no dudes en escribirnos.

Thank You,

BrooksDuBois."
